ข้อคำถาม,5,5(%),4,4(%),3,3(%),2,2(%),1,1(%),0,0(%),x_bar,SD,topic,degree,semester,subject,section,นักศึกษาที่จดทะเบียน,นักศึกษาที่ประเมิน,url,year,sem,n,class,situation
สอนอย่างเป็นระบบ,4,66.67,1,16.67,0,0,1,16.67,0,0,0,0,4.33,1.21,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
สอนให้คิด วิเคราะห์ วิจารณ์,4,66.67,0,0,1,16.67,1,16.67,0,0,0,0,4.17,1.33,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
กระตุ้นบรรยากาศการเรียนการสอน มีวิธีสอนที่น่าสนใจและน่าติดตาม,2,33.33,1,16.67,1,16.67,1,16.67,1,16.67,0,0,3.33,1.63,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
เปิดโอกาสให้แสดงความคิดเห็นและแลกเปลี่ยนประสบการณ์ ทั้งภายในและภายนอกห้องเรียน,3,50,2,33.33,0,0,0,0,1,16.67,0,0,4,1.55,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
มีการให้นำเสนองาน/มีการวัดผลโดยวิธีอื่นๆที่สะท้อนความสามารถของผู้เรียนนอกเหนือจากการตอบข้อสอบ,3,50,2,33.33,1,16.67,0,0,0,0,0,0,4.33,0.82,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ทำให้เห็นความสัมพันธ์กับวิชาอื่นที่เกี่ยวข้อง,3,50,2,33.33,0,0,1,16.67,0,0,0,0,4.17,1.17,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ใช้สื่อและอุปกรณ์ช่วยสอนได้ดี,3,50,2,33.33,0,0,1,16.67,0,0,0,0,4.17,1.17,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
แนะนำแหล่งค้นคว้าข้อมูลเพิ่มเติมให้,3,50,1,16.67,1,16.67,1,16.67,0,0,0,0,4,1.26,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนแจ้งวัตถุประสงค์และเนื้อหารายวิชาตามเค้าโครงการสอนรายวิชาอย่างชัดเจน,4,66.67,1,16.67,1,16.67,0,0,0,0,0,0,4.5,0.84,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนแจ้งเกณฑ์และวิธีประเมินผลล่วงหน้าชัดเจน,5,83.33,1,16.67,0,0,0,0,0,0,0,0,4.83,0.41,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนเข้าสอนและเลิกสอนตรงเวลา,6,100,0,0,0,0,0,0,0,0,0,0,5,0.00,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนมาสอนสม่ำเสมอ,6,100,0,0,0,0,0,0,0,0,0,0,5,0.00,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนสอนเนื้อหาครบถ้วน และสอดคล้องตามเค้าโครงการสอนรายวิชา,3,50,3,50,0,0,0,0,0,0,0,0,4.5,0.55,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนมีการเตรียมการสอนมาอย่างดี,3,50,2,33.33,0,0,1,16.67,0,0,0,0,4.17,1.17,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนชี้แนะจุดมุ่งหมายประเด็นหรือข้อสรุปที่เป็นเนื้อหาสาระสำคัญ,3,50,2,33.33,1,16.67,0,0,0,0,0,0,4.33,0.82,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนแทรกเนื้อหาเกี่ยวกับคุณธรรมจริยธรรมในการเรียนการสอน,2,33.33,2,33.33,2,33.33,0,0,0,0,0,0,4,0.89,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
โสตทัศนูปกรณ์ช่วยสอนในห้องเรียน เช่น ไมโครโฟน เครื่องฉายแผ่นทึบ มีคุณภาพพร้อมใช้งาน,2,33.33,0,0,2,33.33,2,33.33,0,0,0,0,3.33,1.37,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
สภาพของห้องเรียนหรือห้องปฏิบัติการ เช่น แสง อุณหภูมิ โต๊ะ เก้าอี้ จุดเชื่อมต่ออินเตอร์เน็ตไร้สายบริการ ฯลฯ มีความเหมาะสมและคุณภาพพร้อมใช้งาน,2,33.33,0,0,2,33.33,1,16.67,1,16.67,0,0,3.17,1.60,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
จำนวนอุปกรณ์ในการเรียนการสอนเพียงพอ และเหมาะสมต่อจำนวนผู้เรียน เช่น คอมพิวเตอร์ เครื่องดนตรี ฯลฯ,3,50,0,0,3,50,0,0,0,0,0,0,4,1.10,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
เจ้าหน้าที่อำนวยความสะดวกในการให้บริการในการเรียนวิชานี้,4,66.67,1,16.67,1,16.67,0,0,0,0,0,0,4.5,0.84,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
"ผู้สอนมีการกำหนดวัตถุประสงค์, หัวข้อการสอน, และมีเอกสารอ่านประกอบ",8,80,2,20,0,0,0,0,0,0,0,0,4.8,0.42,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,728025,45,10 (22.22%),https://sgulyano.github.io/eval/08846113.html,2563,2,10,2/2563|FGL497|728025,covid
ผู้สอนมีการสอน ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,5,50,5,50,0,0,0,0,0,0,0,0,4.5,0.53,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,728025,45,10 (22.22%),https://sgulyano.github.io/eval/08846113.html,2563,2,10,2/2563|FGL497|728025,covid
ผู้สอนมีการประเมินผล ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,4,40,5,50,1,10,0,0,0,0,0,0,4.3,0.67,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,728025,45,10 (22.22%),https://sgulyano.github.io/eval/08846113.html,2563,2,10,2/2563|FGL497|728025,covid
ผู้สอนสร้างช่องทางการติดต่อกับผู้เรียน ในการปรึกษาข้อสงสัยในหัวข้อที่เรียน ทำให้การเรียนเป็นไปตามวัตถุประสงค์,5,50,4,40,1,10,0,0,0,0,0,0,4.4,0.70,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,728025,45,10 (22.22%),https://sgulyano.github.io/eval/08846113.html,2563,2,10,2/2563|FGL497|728025,covid
ผู้สอนมีการเตรียมการสอนมาอย่างดี สอนอย่างมีขั้นตอนและต่อเนื่อง ตามเค้าโครงการสอนหรือเนื้อหาวิชาที่รับผิดชอบภายใต้ข้อจำกัดในการเรียนการสอนออนไลน์,6,60,4,40,0,0,0,0,0,0,0,0,4.6,0.52,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,728025,45,10 (22.22%),https://sgulyano.github.io/eval/08846113.html,2563,2,10,2/2563|FGL497|728025,covid
ผู้สอนอธิบายชัดเจน ตรงประเด็น มีการยกตัวอย่างประกอบให้เข้าใจง่าย และมีการใช้สื่อการสอนที่สามารถเชื่อมโยงกับเนื้อหาที่สอนให้ผู้เรียนเกิดการเรียนรู้ได้ดีขึ้น,3,30,4,40,3,30,0,0,0,0,0,0,4,0.82,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,728025,45,10 (22.22%),https://sgulyano.github.io/eval/08846113.html,2563,2,10,2/2563|FGL497|728025,covid
ผู้สอนกระตุ้นและส่งเสริมให้นักศึกษาซักถาม คิด วิเคราะห์ วิจารณ์ แสดงความคิดเห็น และส่งเสริมการค้นคว้าด้วยตนเอง พร้อมแนะนำแหล่งความรู้เพิ่มเติม,3,30,2,20,5,50,0,0,0,0,0,0,3.8,0.92,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,728025,45,10 (22.22%),https://sgulyano.github.io/eval/08846113.html,2563,2,10,2/2563|FGL497|728025,covid
ผู้สอนส่งเสริมให้นักศึกษามีคุณธรรม จริยธรรม และปลูกฝังจิตสํานึกให้นักศึกษานําไปประพฤติและปฏิบัติได้อย่างเหมาะสม,6,60,2,20,2,20,0,0,0,0,0,0,4.4,0.84,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,728025,45,10 (22.22%),https://sgulyano.github.io/eval/08846113.html,2563,2,10,2/2563|FGL497|728025,covid
สอนอย่างเป็นระบบ,16,57.14,9,32.14,2,7.14,1,3.57,0,0,0,0,4.43,0.79,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
สอนให้คิด วิเคราะห์ วิจารณ์,14,50,8,28.57,6,21.43,0,0,0,0,0,0,4.29,0.81,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
กระตุ้นบรรยากาศการเรียนการสอน มีวิธีสอนที่น่าสนใจและน่าติดตาม,12,42.86,8,28.57,6,21.43,1,3.57,0,0,1,3.57,4.15,0.91,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
เปิดโอกาสให้แสดงความคิดเห็นและแลกเปลี่ยนประสบการณ์ ทั้งภายในและภายนอกห้องเรียน,16,57.14,9,32.14,3,10.71,0,0,0,0,0,0,4.46,0.69,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
มีการให้นำเสนองาน/มีการวัดผลโดยวิธีอื่นๆที่สะท้อนความสามารถของผู้เรียนนอกเหนือจากการตอบข้อสอบ,13,46.43,13,46.43,1,3.57,1,3.57,0,0,0,0,4.36,0.73,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
ทำให้เห็นความสัมพันธ์กับวิชาอื่นที่เกี่ยวข้อง,14,50,7,25,6,21.43,1,3.57,0,0,0,0,4.21,0.92,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
ใช้สื่อและอุปกรณ์ช่วยสอนได้ดี,13,46.43,11,39.29,2,7.14,2,7.14,0,0,0,0,4.25,0.89,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
แนะนำแหล่งค้นคว้าข้อมูลเพิ่มเติมให้,16,57.14,8,28.57,4,14.29,0,0,0,0,0,0,4.43,0.74,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
ผู้สอนแจ้งวัตถุประสงค์และเนื้อหารายวิชาตามเค้าโครงการสอนรายวิชาอย่างชัดเจน,20,71.43,6,21.43,1,3.57,1,3.57,0,0,0,0,4.61,0.74,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
ผู้สอนแจ้งเกณฑ์และวิธีประเมินผลล่วงหน้าชัดเจน,22,78.57,5,17.86,0,0,0,0,1,3.57,0,0,4.68,0.82,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
ผู้สอนเข้าสอนและเลิกสอนตรงเวลา,18,64.29,9,32.14,1,3.57,0,0,0,0,0,0,4.61,0.57,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
ผู้สอนมาสอนสม่ำเสมอ,23,82.14,3,10.71,2,7.14,0,0,0,0,0,0,4.75,0.59,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
ผู้สอนสอนเนื้อหาครบถ้วน และสอดคล้องตามเค้าโครงการสอนรายวิชา,20,71.43,6,21.43,1,3.57,1,3.57,0,0,0,0,4.61,0.74,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
ผู้สอนมีการเตรียมการสอนมาอย่างดี,19,67.86,6,21.43,3,10.71,0,0,0,0,0,0,4.57,0.69,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
ผู้สอนชี้แนะจุดมุ่งหมายประเด็นหรือข้อสรุปที่เป็นเนื้อหาสาระสำคัญ,19,67.86,6,21.43,1,3.57,2,7.14,0,0,0,0,4.5,0.88,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
ผู้สอนแทรกเนื้อหาเกี่ยวกับคุณธรรมจริยธรรมในการเรียนการสอน,16,57.14,4,14.29,5,17.86,3,10.71,0,0,0,0,4.18,1.09,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
โสตทัศนูปกรณ์ช่วยสอนในห้องเรียน เช่น ไมโครโฟน เครื่องฉายแผ่นทึบ มีคุณภาพพร้อมใช้งาน,14,50,8,28.57,5,17.86,0,0,1,3.57,0,0,4.21,0.99,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
สภาพของห้องเรียนหรือห้องปฏิบัติการ เช่น แสง อุณหภูมิ โต๊ะ เก้าอี้ จุดเชื่อมต่ออินเตอร์เน็ตไร้สายบริการ ฯลฯ มีความเหมาะสมและคุณภาพพร้อมใช้งาน,16,57.14,7,25,4,14.29,0,0,1,3.57,0,0,4.32,0.98,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
จำนวนอุปกรณ์ในการเรียนการสอนเพียงพอ และเหมาะสมต่อจำนวนผู้เรียน เช่น คอมพิวเตอร์ เครื่องดนตรี ฯลฯ,14,50,9,32.14,3,10.71,0,0,0,0,2,7.14,4.42,0.70,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
เจ้าหน้าที่อำนวยความสะดวกในการให้บริการในการเรียนวิชานี้,15,53.57,6,21.43,5,17.86,1,3.57,0,0,1,3.57,4.3,0.91,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,1/2563,DRI970,231863,43,29 (67.44%),https://sgulyano.github.io/eval/19689783.html,2563,1,29,1/2563|DRI970|231863,normal
"ผู้สอนมีการกำหนดวัตถุประสงค์, หัวข้อการสอน, และมีเอกสารอ่านประกอบ",3,60,2,40,0,0,0,0,0,0,0,0,4.6,0.55,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2562,FGL497,231863,50,5 (10.00%),https://sgulyano.github.io/eval/24363682.html,2562,2,5,2/2562|FGL497|231863,covid
ผู้สอนมีการสอน ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,3,60,1,20,1,20,0,0,0,0,0,0,4.4,0.89,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2562,FGL497,231863,50,5 (10.00%),https://sgulyano.github.io/eval/24363682.html,2562,2,5,2/2562|FGL497|231863,covid
ผู้สอนมีการประเมินผล ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,1,20,3,60,1,20,0,0,0,0,0,0,4,0.71,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2562,FGL497,231863,50,5 (10.00%),https://sgulyano.github.io/eval/24363682.html,2562,2,5,2/2562|FGL497|231863,covid
ผู้สอนสร้างช่องทางการติดต่อกับผู้เรียน ในการปรึกษาข้อสงสัยในหัวข้อที่เรียน ทำให้การเรียนเป็นไปตามวัตถุประสงค์,2,40,3,60,0,0,0,0,0,0,0,0,4.4,0.55,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2562,FGL497,231863,50,5 (10.00%),https://sgulyano.github.io/eval/24363682.html,2562,2,5,2/2562|FGL497|231863,covid
ผู้สอนมีการเตรียมการสอนมาอย่างดี สอนอย่างมีขั้นตอนและต่อเนื่อง ตามเค้าโครงการสอนหรือเนื้อหาวิชาที่รับผิดชอบภายใต้ข้อจำกัดในการเรียนการสอนออนไลน์,2,40,3,60,0,0,0,0,0,0,0,0,4.4,0.55,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2562,FGL497,231863,50,5 (10.00%),https://sgulyano.github.io/eval/24363682.html,2562,2,5,2/2562|FGL497|231863,covid
ผู้สอนอธิบายชัดเจน ตรงประเด็น มีการยกตัวอย่างประกอบให้เข้าใจง่าย และมีการใช้สื่อการสอนที่สามารถเชื่อมโยงกับเนื้อหาที่สอนให้ผู้เรียนเกิดการเรียนรู้ได้ดีขึ้น,1,20,2,40,1,20,1,20,0,0,0,0,3.6,1.14,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2562,FGL497,231863,50,5 (10.00%),https://sgulyano.github.io/eval/24363682.html,2562,2,5,2/2562|FGL497|231863,covid
ผู้สอนกระตุ้นและส่งเสริมให้นักศึกษาซักถาม คิด วิเคราะห์ วิจารณ์ แสดงความคิดเห็น และส่งเสริมการค้นคว้าด้วยตนเอง พร้อมแนะนำแหล่งความรู้เพิ่มเติม,1,20,3,60,0,0,1,20,0,0,0,0,3.8,1.10,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2562,FGL497,231863,50,5 (10.00%),https://sgulyano.github.io/eval/24363682.html,2562,2,5,2/2562|FGL497|231863,covid
